Timestamp,How many romantic relationships have you been in in high school that were at least a month long?,Grade Level:,Gender:,Height in inches:,"Preferred height for partner, in inches:",Age:,Preferred Age of partner:,Do you have your drivers license/access to a car?,"How many hours, per week, do you spend on extracurriculars?",Average size of extracurriculars [amount of people involved]:,Approx. how many close friends do you have?,"How confident do you consider yourself?
[1 is least confident, 4 is most confident]","How much do you want to be in a relationship? 
[1 is not interested, 4 is most desiring]","be honest. how many muppets can you name off the top of your head?
[elmo et al are not muppets. barney is also not a muppet.]"
5/18/2026 8:24:35,1,9,Male,66,70,15,15,Yes,8,>150 people,8,3,2,3
5/18/2026 8:25:13,0,9,Male,64,61,14,14,No,0,<50 people,5,3,2,none
5/18/2026 8:26:51,0,9,Female,60,63,14,14,No,1,50-150 people,7,3,1,0
5/18/2026 8:27:38,1,9,Male,69,67,14,14,No,6,<50 people,15,4,2,0
5/18/2026 8:29:33,1,9,Male,67,63,15,15,No,2,<50 people,3,2,2,4
5/18/2026 8:29:33,0,9,Female,73,73,15,16,No,0,<50 people,0,3,1,0
5/18/2026 8:31:35,0,9,Female,66,70,15,16,Yes,0,<50 people,1,2,1,none 
5/18/2026 8:37:24,2,10,Male,71,66,16,16,Yes,16,<50 people,15,3,2,kermit the frog
5/18/2026 8:38:30,4,10,Female,70,73,16,17,Yes,7,<50 people,4,3,4,"kermit, ms piggy "
5/18/2026 8:39:06,2,10,Male,71,69,16,16,Yes,8,>150 people,5,3,3,"Pig Girl, Movie Guys, Nose Boy, The List Goes On, etc"
5/18/2026 8:40:16,0,10,Male,68,65,16,16,Yes,10,<50 people,10,3,3,0
5/18/2026 8:40:50,0,10,Female,68,72,16,16,Yes,20,50-150 people,3,3,2,0
5/18/2026 8:43:15,0,10,Female,65,70,15,15,No,7.5,<50 people,2,2,1,none :(
5/18/2026 8:43:20,0,10,Female,61,68,15,15,No,5,<50 people,3,2,1,none?
5/18/2026 8:45:51,0,10,Female,62,69,16,16,No,3,<50 people,8,1,3,8
5/18/2026 8:46:46,0,10,Male,70,70,16,16,No,10,<50 people,5,3,1,"kermit, swedish chef, miss piggy, sam eagle, "
5/18/2026 8:51:55,1,12,Female,67,68,18,18,No,0,<50 people,9,4,4,6
5/18/2026 8:52:11,1,12,Female,68,71,18,18,Yes,20,<50 people,10,3,4,2
5/18/2026 8:54:06,2,12,Female,65,72,17,17,Yes,6,<50 people,7,2,4,miss piggy and kermit
5/18/2026 8:54:15,2,12,Female,59,68,17,22,Yes,10,50-150 people,6,4,2,3
5/18/2026 8:56:01,0,12,Female,60,68,17,17,Yes,15,<50 people,6,3,1,0
5/18/2026 8:58:08,5,12,Female,67,71,18,18,Yes,12,<50 people,10,2,2,2
5/18/2026 8:58:18,4,12,Female,65,71,18,19,Yes,12,<50 people,5,3,1,1
5/18/2026 9:01:17,0,12,Male,68,64,18,18,Yes,3,<50 people,4,3,1,0
5/18/2026 9:01:34,0,12,Female,62,65,18,18,No,10.5,50-150 people,11,2,2,2
5/18/2026 9:03:03,2,12,Female,65,66,17,17,Yes,20,<50 people,3,3,4,1
5/18/2026 9:03:05,1,10,Male,190,175,17,18,Yes,20,<50 people,10,4,2,1
5/18/2026 9:04:23,0,12,Male,70,70,17,17,Yes,10,>150 people,6,3,1,0
5/18/2026 9:08:19,1,12,Female,63,100,18,19,Yes,8,50-150 people,30,3,3,4
5/18/2026 9:10:14,0,11,Female,64,71,17,17,Yes,11,<50 people,5,4,2,1
5/18/2026 9:10:22,1,12,Male,67,67,18,18,Yes,6,50-150 people,6,4,1,0
5/18/2026 9:13:08,0,12,Female,64,70,17,17,No,10,<50 people,7,3,1,3
5/18/2026 9:13:12,1,12,Female,62,70,18,18,Yes,18,50-150 people,3,2,3,2
5/18/2026 9:15:28,2,12,Female,71,72,18,18,Yes,7,<50 people,3,3,3,2
5/18/2026 9:18:32,0,12,Female,66,70,17,18,Yes,4,<50 people,4,3,3,"kermit, ms piggy, fozzie bear, uhhh the two old guys... also the sesame street characters ARE considered muppets though barney is not"
5/18/2026 9:18:56,0,12,Male,72,40,18,12,Yes,10,50-150 people,0,3,1,Kermit
5/18/2026 9:20:40,3,11,Female,63,69,17,17,No,3,<50 people,3,4,3,Hermit?
5/18/2026 9:22:16,1,11,Male,67,63,17,17,No,16,>150 people,10,3,3,elphaba
5/18/2026 9:23:28,0,12,Male,66,69,18,18,Yes,26,>150 people,12,2,1,maybe 3
5/18/2026 9:24:02,0,11,Female,64,68,17,17,Yes,5,50-150 people,4,2,2,1
5/18/2026 9:25:18,3,12,Female,69,69,18,18,Yes,9,<50 people,9,2,2,5
5/18/2026 9:25:24,1,10,Male,68,66,15,15,No,3,<50 people,7,3,2,5
5/18/2026 9:25:28,0,10,Male,68,64,16,16,Yes,3,<50 people,8,3,3,3
5/18/2026 9:25:51,2,11,Female,60,60,17,16,No,20,50-150 people,6,4,4,none :(
5/18/2026 9:28:13,0,10,Male,68,66,16,16,No,21,50-150 people,5,4,2,0
5/18/2026 9:28:28,1,11,Female,54,62,17,16,No,4,>150 people,3,3,4,elmo
5/18/2026 9:28:35,2,10,Male,70,67,15,17,No,10,50-150 people,8,3,3,3
5/18/2026 9:28:57,2,12,Female,64,67,18,18,Yes,10,50-150 people,6,3,3,5
5/18/2026 9:30:55,1,11,Female,64,68,16,17,Yes,16,<50 people,9,3,2,4
5/18/2026 9:31:28,0,10,Female,64,69,16,16,No,7,50-150 people,4,3,2,2
5/18/2026 9:32:15,3,12,Female,67,72,18,18,Yes,2,50-150 people,6,3,2,ms piggy
5/18/2026 9:32:34,2,12,Male,70,67,18,18,Yes,10,<50 people,8,4,3,like zero?  is grouchy a muppet
5/18/2026 9:33:20,0,10,Female,63,70,16,16,No,13,<50 people,4,3,2,3
5/18/2026 9:35:01,4,12,Male,72,63,18,18,No,3,50-150 people,3,2,4,"Kermit, Ms Piggy"
5/18/2026 9:35:33,0,11,Female,64,72,17,17,No,2,<50 people,6,2,2,"kermit, ms. piggy"
5/18/2026 9:36:02,1,12,Male,67,62,17,17,Yes,20,50-150 people,10,3,3,6
5/18/2026 9:36:02,0,11,Female,64,68,17,17,No,8,<50 people,3,3,3,idk kermit
5/18/2026 9:36:48,1,10,Male,72,67,18,18,Yes,6,<50 people,5,3,4,3
5/18/2026 9:41:31,2,10,Male,68,67,16,15,No,10,<50 people,10,3,4,n/a
5/18/2026 9:41:31,0,10,Female,62,71,15,15,Yes,5,50-150 people,4,2,2,none
5/18/2026 9:43:22,0,10,Male,68,66,16,16,Yes,35,<50 people,5,2,1,0
5/18/2026 9:43:53,1,11,Female,65,69,15,16,No,15,50-150 people,6,3,3,2
5/18/2026 9:46:02,3,12,Female,67,74,18,18,Yes,1,<50 people,6,3,2,4
5/18/2026 9:51:26,2,12,Male,68,66,17,17,Yes,6,50-150 people,7,4,3,"kermit,miss piggy,gonzo, rizzzo,"
5/18/2026 14:28:33,1,12,Female,65,65,17,17,Yes,2,<50 people,6,3,1,0
5/18/2026 14:35:06,0,12,Female,68,73,18,18,Yes,3,<50 people,9,4,1,lol
